[03 sep 21:52:03] CREATE:ItemAuction, item 268437784:Improved Ring of Queen Ant(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437785:Lava Saw(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437786:Refined Black Feather Mask(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437787:Vigwik Axe(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437788:Green Soul Crystal - Stage 15(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437789:Vigwik Axe(1)
[03 sep 21:58:46] CREATE:Hellbound Map, item 268483949:Map of Hellbound(1), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[09 sep 1:38:13] CREATE:Loot, item 268488928:Herb of Speed(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488896]
[09 sep 1:38:13] CREATE:Loot, item 268488929:Donation Coin(140565), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488897]
[09 sep 1:38:13] CREATE:Loot, item 268488930:Herb of Speed(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488897]
[09 sep 1:38:13] CREATE:Loot, item 268488931:Festival Adena(137593), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488898]
[09 sep 1:38:13] CREATE:Loot, item 268488932:Herb of Vampiric Rage(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488898]
[09 sep 1:38:13] CREATE:Loot, item 268488933:Donation Coin(132495), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488900]
[09 sep 1:38:13] CREATE:Loot, item 268488934:Herb of Life(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488900]
[09 sep 1:38:13] CREATE:Loot, item 268488935:Herb of Speed(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488900]
[09 sep 1:38:35] DELETE:Consume, item 268486952:Special Bolt(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:38:37] CREATE:Loot, item 268488945:Adena(30), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488873]
[09 sep 1:38:44] CREATE:Loot, item 268488946:Gold Knight(142446), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488940]
[09 sep 1:38:44] CREATE:Loot, item 268488947:Herb of Critical Attack - Probability(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488940]
[09 sep 1:38:44] CREATE:Loot, item 268488948:Adena(34), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488870]
[09 sep 1:38:44] CREATE:Loot, item 268488949:Herb of Alacrity(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488870]
[09 sep 1:38:44] CREATE:Loot, item 268488950:Herb of Speed(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488870]
[09 sep 1:38:44] CREATE:Loot, item 268488951:Vote Coin(126850), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488888]
[09 sep 1:38:44] CREATE:Loot, item 268488952:Herb of Magic(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488888]
[09 sep 1:38:44] CREATE:Loot, item 268488953:Festival Adena(130662), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488912]
[09 sep 1:38:44] CREATE:Loot, item 268488954:Herb of Alacrity(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488912]
[09 sep 1:38:44] CREATE:Loot, item 268488955:Donation Coin(1104957), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488936]
[09 sep 1:38:44] CREATE:Loot, item 268488956:Donation Coin(1103437), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488938]
[09 sep 1:38:44] CREATE:Loot, item 268488957:Superior Herb of Mana(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488938]
[09 sep 1:38:44] CREATE:Loot, item 268488958:Herb of Power(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488938]
[09 sep 1:38:44] CREATE:Loot, item 268488959:Adena(36), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488939]
[09 sep 1:38:44] CREATE:Loot, item 268488960:Gold Knight(136528), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488941]
[09 sep 1:38:44] CREATE:Loot, item 268488961:Gold Knight(135150), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488942]
[09 sep 1:38:44] CREATE:Loot, item 268488962:Herb of Life(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488942]
[09 sep 1:38:44] CREATE:Loot, item 268488963:Herb of Magic(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488942]
[09 sep 1:38:44] CREATE:Loot, item 268488964:Herb of Vampiric Rage(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488942]
[09 sep 1:38:48] CREATE:Loot, item 268488965:Vote Coin(149146), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488943]
[09 sep 1:38:48] CREATE:Loot, item 268488966:Herb of Vampiric Rage(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488943]
[09 sep 1:38:59] CREATE:Loot, item 268488977:Festival Adena(110156), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488944]
[09 sep 1:38:59] CREATE:Loot, item 268488978:Herb of Speed(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488944]
[09 sep 1:39:01] CREATE:Loot, item 268488979:Donation Coin(1059191), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488895]
[09 sep 1:39:01] CREATE:Loot, item 268488980:Vitality Replenishing Herb(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488895]
[09 sep 1:39:01] CREATE:Loot, item 268488981:Herb of Critical Attack - Probability(1), L2PcInstance:EVA[268485955], L2MonsterInstance:Goblin Grave Robber(20319)[268488895]
[09 sep 1:39:03] DELETE:Consume, item 268488978:Herb of Speed(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:04] CHANGE:Pickup, item 268486242:Gold Knight(5286103), PrevCount(4162170), L2PcInstance:EVA[268485955]
[09 sep 1:39:04] DELETE:Pickup, item 268488690:Gold Knight(0), PrevCount(1123933), L2PcInstance:EVA[268485955]
[09 sep 1:39:04] CHANGE:Pickup, item 268486237:Festival Adena(6128719), PrevCount(5095047), L2PcInstance:EVA[268485955]
[09 sep 1:39:04] DELETE:Pickup, item 268488655:Festival Adena(0), PrevCount(1033672), L2PcInstance:EVA[268485955]
[09 sep 1:39:05] CHANGE:Pickup, item 268486245:Donation Coin(5951404), PrevCount(4892213), L2PcInstance:EVA[268485955]
[09 sep 1:39:05] DELETE:Pickup, item 268488979:Donation Coin(0), PrevCount(1059191), L2PcInstance:EVA[268485955]
[09 sep 1:39:05] CHANGE:Pickup, item 268486245:Donation Coin(6105211), PrevCount(5951404), L2PcInstance:EVA[268485955]
[09 sep 1:39:05] DELETE:Pickup, item 268488700:Donation Coin(0), PrevCount(153807), L2PcInstance:EVA[268485955]
[09 sep 1:39:06] CHANGE:Pickup, item 268486259:Vote Coin(8898866), PrevCount(8765985), L2PcInstance:EVA[268485955]
[09 sep 1:39:06] DELETE:Pickup, item 268488654:Vote Coin(0), PrevCount(132881), L2PcInstance:EVA[268485955]
[09 sep 1:39:06] CHANGE:Pickup, item 268486237:Festival Adena(6251951), PrevCount(6128719), L2PcInstance:EVA[268485955]
[09 sep 1:39:06] DELETE:Pickup, item 268488640:Festival Adena(0), PrevCount(123232), L2PcInstance:EVA[268485955]
[09 sep 1:39:07] CHANGE:Pickup, item 268485956:Adena(8956408250), PrevCount(8956408211), L2PcInstance:EVA[268485955]
[09 sep 1:39:07] DELETE:Pickup, item 268488672:Adena(0), PrevCount(39), L2PcInstance:EVA[268485955]
[09 sep 1:39:07] CHANGE:Pickup, item 268486259:Vote Coin(9005854), PrevCount(8898866), L2PcInstance:EVA[268485955]
[09 sep 1:39:07] DELETE:Pickup, item 268488677:Vote Coin(0), PrevCount(106988), L2PcInstance:EVA[268485955]
[09 sep 1:39:08] CHANGE:Pickup, item 268486259:Vote Coin(9146042), PrevCount(9005854), L2PcInstance:EVA[268485955]
[09 sep 1:39:08] DELETE:Pickup, item 268488648:Vote Coin(0), PrevCount(140188), L2PcInstance:EVA[268485955]
[09 sep 1:39:09] CHANGE:Pickup, item 268486237:Festival Adena(6389710), PrevCount(6251951), L2PcInstance:EVA[268485955]
[09 sep 1:39:09] DELETE:Pickup, item 268488683:Festival Adena(0), PrevCount(137759), L2PcInstance:EVA[268485955]
[09 sep 1:39:09] CHANGE:Pickup, item 268486245:Donation Coin(6264515), PrevCount(6105211), L2PcInstance:EVA[268485955]
[09 sep 1:39:09] DELETE:Pickup, item 268488681:Donation Coin(0), PrevCount(159304), L2PcInstance:EVA[268485955]
[09 sep 1:39:09] CHANGE:Pickup, item 268486237:Festival Adena(6520372), PrevCount(6389710), L2PcInstance:EVA[268485955]
[09 sep 1:39:09] DELETE:Pickup, item 268488953:Festival Adena(0), PrevCount(130662), L2PcInstance:EVA[268485955]
[09 sep 1:39:10] CHANGE:Pickup, item 268486245:Donation Coin(6416797), PrevCount(6264515), L2PcInstance:EVA[268485955]
[09 sep 1:39:10] DELETE:Pickup, item 268488645:Donation Coin(0), PrevCount(152282), L2PcInstance:EVA[268485955]
[09 sep 1:39:11] CHANGE:Pickup, item 268486242:Gold Knight(5431619), PrevCount(5286103), L2PcInstance:EVA[268485955]
[09 sep 1:39:11] DELETE:Pickup, item 268488676:Gold Knight(0), PrevCount(145516), L2PcInstance:EVA[268485955]
[09 sep 1:39:11] DELETE:Consume, item 268488958:Herb of Power(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:11] CHANGE:Pickup, item 268485956:Adena(8956408290), PrevCount(8956408250), L2PcInstance:EVA[268485955]
[09 sep 1:39:11] DELETE:Pickup, item 268488694:Adena(0), PrevCount(40), L2PcInstance:EVA[268485955]
[09 sep 1:39:12] CHANGE:Pickup, item 268486259:Vote Coin(9299483), PrevCount(9146042), L2PcInstance:EVA[268485955]
[09 sep 1:39:12] DELETE:Pickup, item 268488692:Vote Coin(0), PrevCount(153441), L2PcInstance:EVA[268485955]
[09 sep 1:39:13] CHANGE:Pickup, item 268486242:Gold Knight(6542394), PrevCount(5431619), L2PcInstance:EVA[268485955]
[09 sep 1:39:13] DELETE:Pickup, item 268488635:Gold Knight(0), PrevCount(1110775), L2PcInstance:EVA[268485955]
[09 sep 1:39:13] CHANGE:Pickup, item 268486242:Gold Knight(6684840), PrevCount(6542394), L2PcInstance:EVA[268485955]
[09 sep 1:39:13] DELETE:Pickup, item 268488946:Gold Knight(0), PrevCount(142446), L2PcInstance:EVA[268485955]
[09 sep 1:39:14] CHANGE:Pickup, item 268486242:Gold Knight(6821368), PrevCount(6684840), L2PcInstance:EVA[268485955]
[09 sep 1:39:14] DELETE:Pickup, item 268488960:Gold Knight(0), PrevCount(136528), L2PcInstance:EVA[268485955]
[09 sep 1:39:14] DELETE:Consume, item 268488964:Herb of Vampiric Rage(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:15] DELETE:Consume, item 268488963:Herb of Magic(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:15] DELETE:Consume, item 268488947:Herb of Critical Attack - Probability(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:16] CHANGE:Pickup, item 268486245:Donation Coin(7520234), PrevCount(6416797), L2PcInstance:EVA[268485955]
[09 sep 1:39:16] DELETE:Pickup, item 268488956:Donation Coin(0), PrevCount(1103437), L2PcInstance:EVA[268485955]
[09 sep 1:39:16] DELETE:Consume, item 268488957:Superior Herb of Mana(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:17] DELETE:Consume, item 268488966:Herb of Vampiric Rage(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:17] CHANGE:Pickup, item 268486259:Vote Coin(9448629), PrevCount(9299483), L2PcInstance:EVA[268485955]
[09 sep 1:39:17] DELETE:Pickup, item 268488965:Vote Coin(0), PrevCount(149146), L2PcInstance:EVA[268485955]
[09 sep 1:39:18] CHANGE:Pickup, item 268486242:Gold Knight(6956518), PrevCount(6821368), L2PcInstance:EVA[268485955]
[09 sep 1:39:18] DELETE:Pickup, item 268488961:Gold Knight(0), PrevCount(135150), L2PcInstance:EVA[268485955]
[09 sep 1:39:19] DELETE:Consume, item 268488962:Herb of Life(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:19] CHANGE:Pickup, item 268486245:Donation Coin(8625191), PrevCount(7520234), L2PcInstance:EVA[268485955]
[09 sep 1:39:19] DELETE:Pickup, item 268488955:Donation Coin(0), PrevCount(1104957), L2PcInstance:EVA[268485955]
[09 sep 1:39:20] CHANGE:Pickup, item 268485956:Adena(8956408326), PrevCount(8956408290), L2PcInstance:EVA[268485955]
[09 sep 1:39:20] DELETE:Pickup, item 268488959:Adena(0), PrevCount(36), L2PcInstance:EVA[268485955]
[09 sep 1:39:20] CHANGE:Pickup, item 268486259:Vote Coin(10523778), PrevCount(9448629), L2PcInstance:EVA[268485955]
[09 sep 1:39:20] DELETE:Pickup, item 268488688:Vote Coin(0), PrevCount(1075149), L2PcInstance:EVA[268485955]
[09 sep 1:39:21] DELETE:Consume, item 268488954:Herb of Alacrity(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:21] CHANGE:Pickup, item 268486259:Vote Coin(10675754), PrevCount(10523778), L2PcInstance:EVA[268485955]
[09 sep 1:39:21] DELETE:Pickup, item 268488639:Vote Coin(0), PrevCount(151976), L2PcInstance:EVA[268485955]
[09 sep 1:39:22] CHANGE:Pickup, item 268486237:Festival Adena(6668550), PrevCount(6520372), L2PcInstance:EVA[268485955]
[09 sep 1:39:22] DELETE:Pickup, item 268488752:Festival Adena(0), PrevCount(148178), L2PcInstance:EVA[268485955]
[09 sep 1:39:22] CHANGE:Pickup, item 268486259:Vote Coin(10798042), PrevCount(10675754), L2PcInstance:EVA[268485955]
[09 sep 1:39:22] DELETE:Pickup, item 268488762:Vote Coin(0), PrevCount(122288), L2PcInstance:EVA[268485955]
[09 sep 1:39:23] CHANGE:Pickup, item 268486237:Festival Adena(6804836), PrevCount(6668550), L2PcInstance:EVA[268485955]
[09 sep 1:39:23] DELETE:Pickup, item 268488758:Festival Adena(0), PrevCount(136286), L2PcInstance:EVA[268485955]
[09 sep 1:39:23] CHANGE:Pickup, item 268486259:Vote Coin(11867189), PrevCount(10798042), L2PcInstance:EVA[268485955]
[09 sep 1:39:23] DELETE:Pickup, item 268488764:Vote Coin(0), PrevCount(1069147), L2PcInstance:EVA[268485955]
[09 sep 1:39:24] CHANGE:Pickup, item 268486259:Vote Coin(11991102), PrevCount(11867189), L2PcInstance:EVA[268485955]
[09 sep 1:39:24] DELETE:Pickup, item 268488755:Vote Coin(0), PrevCount(123913), L2PcInstance:EVA[268485955]
[09 sep 1:39:24] CHANGE:Pickup, item 268486245:Donation Coin(8769725), PrevCount(8625191), L2PcInstance:EVA[268485955]
[09 sep 1:39:24] DELETE:Pickup, item 268488748:Donation Coin(0), PrevCount(144534), L2PcInstance:EVA[268485955]
[09 sep 1:39:25] CHANGE:Pickup, item 268486245:Donation Coin(8918702), PrevCount(8769725), L2PcInstance:EVA[268485955]
[09 sep 1:39:25] DELETE:Pickup, item 268488586:Donation Coin(0), PrevCount(148977), L2PcInstance:EVA[268485955]
[09 sep 1:39:26] CHANGE:Pickup, item 268486242:Gold Knight(7093586), PrevCount(6956518), L2PcInstance:EVA[268485955]
[09 sep 1:39:26] DELETE:Pickup, item 268488749:Gold Knight(0), PrevCount(137068), L2PcInstance:EVA[268485955]
[09 sep 1:39:26] CHANGE:Pickup, item 268486242:Gold Knight(7222448), PrevCount(7093586), L2PcInstance:EVA[268485955]
[09 sep 1:39:26] DELETE:Pickup, item 268488627:Gold Knight(0), PrevCount(128862), L2PcInstance:EVA[268485955]
[09 sep 1:39:27] CHANGE:Pickup, item 268486259:Vote Coin(12124756), PrevCount(11991102), L2PcInstance:EVA[268485955]
[09 sep 1:39:27] DELETE:Pickup, item 268488622:Vote Coin(0), PrevCount(133654), L2PcInstance:EVA[268485955]
[09 sep 1:39:27] CHANGE:Pickup, item 268486245:Donation Coin(9030050), PrevCount(8918702), L2PcInstance:EVA[268485955]
[09 sep 1:39:27] DELETE:Pickup, item 268488652:Donation Coin(0), PrevCount(111348), L2PcInstance:EVA[268485955]
[09 sep 1:39:28] CHANGE:Pickup, item 268486259:Vote Coin(12275325), PrevCount(12124756), L2PcInstance:EVA[268485955]
[09 sep 1:39:28] DELETE:Pickup, item 268488642:Vote Coin(0), PrevCount(150569), L2PcInstance:EVA[268485955]
[09 sep 1:39:28] CHANGE:Pickup, item 268486237:Festival Adena(6958938), PrevCount(6804836), L2PcInstance:EVA[268485955]
[09 sep 1:39:28] DELETE:Pickup, item 268488631:Festival Adena(0), PrevCount(154102), L2PcInstance:EVA[268485955]
[09 sep 1:39:29] CHANGE:Pickup, item 268485956:Adena(8956408368), PrevCount(8956408326), L2PcInstance:EVA[268485955]
[09 sep 1:39:29] DELETE:Pickup, item 268488625:Adena(0), PrevCount(42), L2PcInstance:EVA[268485955]
[09 sep 1:39:29] DELETE:Consume, item 268488980:Vitality Replenishing Herb(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:30] DELETE:Consume, item 268488981:Herb of Critical Attack - Probability(0), PrevCount(1), L2PcInstance:EVA[268485955]
[09 sep 1:39:31] CHANGE:Pickup, item 268486237:Festival Adena(7069094), PrevCount(6958938), L2PcInstance:EVA[268485955]
[09 sep 1:39:31] DELETE:Pickup, item 268488977:Festival Adena(0), PrevCount(110156), L2PcInstance:EVA[268485955]
[09 sep 1:41:30] CREATE:Init, item 268489018:Adena(500000), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489019:No Grade Beginner's Adventurer Support Pack(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489020:D-Grade Mage Support Pack(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489021:Beginner's Adventurer Reinforcement Pack(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489022:Training Gloves(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489023:Apprentice's Tunic(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489024:Apprentice's Stockings(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489025:Tutorial Guide(1), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489026:Adventurer's Scroll of Escape(5), L2PcInstance:404[268489017]
[09 sep 1:41:30] CREATE:Init, item 268489027:Kamael Village Teleportation Scroll(10), L2PcInstance:404[268489017]
[09 sep 1:41:33] CREATE:Hellbound Map, item 268489029:Map of Hellbound(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:41:33] CREATE:AIO Item, item 268489030:Deck(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:41:42] CHANGE:Scheme system, item 268489018:Adena(495700), PrevCount(500000), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] DELETE:Extract, item 268489019:No Grade Beginner's Adventurer Support Pack(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489038:Shadow Item: Falchion(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489039:Shadow Item: Mage Staff(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489040:Shadow Item: Bronze Breastplate(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489041:Shadow Item: Bronze Gaiters(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489042:Shadow Item: Hard Leather Shirt(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489043:Shadow Item: Hard Leather Gaiters(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489044:Shadow Item: Tunic of Magic(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489045:Shadow Item: Stockings of Magic(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489046:Sweet Fruit Cocktail(3), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:13] CREATE:Extract, item 268489047:Fresh Fruit Cocktail(3), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] DELETE:Extract, item 268489021:Beginner's Adventurer Reinforcement Pack(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489048:Afro Hair - Big Head, Firework - 7-day limited period(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489049:Rune of Experience Points 50% 7-Day Pack(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489050:Rune of SP 50% 7-Day Pack(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] DELETE:Extract, item 268489020:D-Grade Mage Support Pack(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489051:Common Item - Ghost Staff(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489052:Common Item - Mithril Tunic(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489053:Common Item - Mithril Stockings(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489054:Common Item - Salamander Skin Boots(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489055:Common Item - Ogre Power Gauntlet(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:14] CREATE:Extract, item 268489056:Common Item - Plate Helmet(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:15] DELETE:Extract, item 268489050:Rune of SP 50% 7-Day Pack(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:15] CREATE:Extract, item 268489057:Rune of SP 50% - 7-day limited period(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:16] DELETE:Extract, item 268489049:Rune of Experience Points 50% 7-Day Pack(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:16] CREATE:Extract, item 268489058:Rune of Experience Points 50% - 7-day limited period(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:42:41] CREATE:Loot, item 268489061:Adena(74), L2PcInstance:404[268489017], L2MonsterInstance:Gremlin(18342)[268464185]
[09 sep 1:42:42] CREATE:Loot, item 268489062:Blue Gemstone(1), L2PcInstance:404[268489017], L2MonsterInstance:Gremlin(18342)[268464185]
[09 sep 1:43:08] SETOWNER:Pickup, item 268489062:Blue Gemstone(1), L2PcInstance:404[268489017]
[09 sep 1:43:09] CHANGE:Pickup, item 268489018:Adena(495774), PrevCount(495700), L2PcInstance:404[268489017]
[09 sep 1:43:09] DELETE:Pickup, item 268489061:Adena(0), PrevCount(74), L2PcInstance:404[268489017]
[09 sep 1:43:11] DELETE:Quest, item 268489062:Blue Gemstone(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:43:11] CREATE:Quest, item 268489064:Voucher of Flame(1), L2PcInstance:404[268489017], L2NpcInstance:Newbie Helper(30575)[268465471]
[09 sep 1:43:11] CREATE:Quest, item 268489065:Spiritshot: No Grade for Beginners(100), L2PcInstance:404[268489017], L2NpcInstance:Newbie Helper(30575)[268465471]
[09 sep 1:43:33] CREATE:Loot, item 268489066:Adena(8), L2PcInstance:404[268489017], L2MonsterInstance:Gremlin(18342)[268489063]
[09 sep 1:43:36] CHANGE:Pickup, item 268489018:Adena(495782), PrevCount(495774), L2PcInstance:404[268489017]
[09 sep 1:43:36] DELETE:Pickup, item 268489066:Adena(0), PrevCount(8), L2PcInstance:404[268489017]
[09 sep 1:43:45] CREATE:Loot, item 268489072:Adena(12), L2PcInstance:404[268489017], L2MonsterInstance:Gremlin(18342)[268464181]
[09 sep 1:44:17] CREATE:Loot, item 268489092:Adena(86), L2PcInstance:404[268489017], L2MonsterInstance:Gremlin(18342)[268464188]
[09 sep 1:44:33] DELETE:Quest, item 268489064:Voucher of Flame(0), PrevCount(1), L2PcInstance:404[268489017], L2PcInstance:404[268489017]
[09 sep 1:44:33] CHANGE:Quest, item 268489065:Spiritshot: No Grade for Beginners(198), PrevCount(98), L2PcInstance:404[268489017], L2NpcInstance:Vulkus(30573)[268465470]
[09 sep 1:45:09] CHANGE:Quest, item 268489018:Adena(1000495781), PrevCount(495782), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:10] CHANGE:Quest, item 268489018:Adena(2000495780), PrevCount(1000495781), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:11] CHANGE:Quest, item 268489018:Adena(3000495779), PrevCount(2000495780), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:11] CHANGE:Quest, item 268489018:Adena(4000495778), PrevCount(3000495779), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:12] CHANGE:Quest, item 268489018:Adena(5000495777), PrevCount(4000495778), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:12] CHANGE:Quest, item 268489018:Adena(6000495776), PrevCount(5000495777), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:13] CHANGE:Quest, item 268489018:Adena(7000495775), PrevCount(6000495776), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:13] CHANGE:Quest, item 268489018:Adena(8000495774), PrevCount(7000495775), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
[09 sep 1:45:26] CREATE:Quest, item 268489095:Noblesse Tiara(1), L2PcInstance:404[268489017], L2NpcInstance:Zeus(559)[268477705]
